iteracion,timestamp,theta,x,y,sigma_theta,sigma_x,sigma_y,lm0_x,lm0_y,lm1_x,lm1_y,z_diff_range,z_diff_bearing
147,1779735457.260325,-0.000673,-0.000979,-0.000904,0.014173,0.013785,0.014012,-0.500920,-0.699336,0.798742,-0.800086,0.000417,-0.002632
148,1779735457.437748,-0.000628,-0.000217,0.000113,0.020360,0.018272,0.018022,-0.500932,-0.699353,0.798747,-0.800080,0.002346,-0.000098
149,1779735457.457896,-0.000529,-0.000648,0.000313,0.017136,0.016737,0.015594,-0.500944,-0.699348,0.798768,-0.800088,0.001322,0.000399
150,1779735457.471522,-0.000238,-0.000843,0.000595,0.014828,0.014387,0.014655,-0.500944,-0.699343,0.798769,-0.800072,-0.000822,-0.001128
151,1779735457.486724,-0.000426,-0.000568,0.000596,0.014191,0.013783,0.014010,-0.500939,-0.699341,0.798774,-0.800076,0.001025,0.000985
152,1779735457.610003,0.000381,0.000168,0.000046,0.020353,0.018278,0.018023,-0.500943,-0.699336,0.798782,-0.800074,-0.000046,-0.002550
153,1779735457.625189,0.000119,-0.000159,-0.000065,0.017136,0.016739,0.015595,-0.500959,-0.699336,0.798805,-0.800074,0.000806,0.001246
154,1779735457.647839,0.000238,-0.000188,0.000195,0.014821,0.014388,0.014656,-0.500957,-0.699330,0.798807,-0.800063,-0.000894,-0.000554
155,1779735457.663007,-0.000023,0.000031,0.000392,0.014182,0.013785,0.014011,-0.500956,-0.699319,0.798807,-0.800063,0.000057,0.001385
156,1779735457.811554,0.000032,0.000098,0.000377,0.020348,0.018278,0.018023,-0.500957,-0.699319,0.798808,-0.800063,0.000050,-0.000175
157,1779735457.826856,-0.000033,-0.000687,0.000550,0.017126,0.016739,0.015594,-0.500982,-0.699313,0.798851,-0.800072,0.002263,0.001416
158,1779735457.842732,0.000088,-0.000903,0.000290,0.014819,0.014388,0.014656,-0.500987,-0.699322,0.798847,-0.800077,0.001112,-0.000235
159,1779735457.857507,0.000362,-0.000944,-0.000144,0.014183,0.013784,0.014011,-0.500983,-0.699339,0.798851,-0.800085,0.001538,-0.001478
160,1779735458.011327,-0.000002,-0.001360,-0.000018,0.020362,0.018273,0.018019,-0.500979,-0.699339,0.798848,-0.800086,-0.000252,0.001146
161,1779735458.024584,-0.000345,-0.001393,-0.000274,0.017124,0.016735,0.015594,-0.500988,-0.699342,0.798856,-0.800080,-0.000099,0.001008
162,1779735458.045198,-0.000485,-0.001186,-0.000089,0.014815,0.014388,0.014656,-0.500984,-0.699334,0.798859,-0.800078,-0.000838,0.000341
163,1779735458.060955,-0.000606,-0.000978,-0.000126,0.014178,0.013785,0.014011,-0.500981,-0.699334,0.798862,-0.800082,0.000919,0.000627
164,1779735458.140768,-0.000347,-0.000443,0.000133,0.020352,0.018273,0.018018,-0.500987,-0.699339,0.798866,-0.800079,0.000960,-0.000799
165,1779735458.189818,-0.000837,-0.000177,-0.000323,0.017127,0.016735,0.015592,-0.500989,-0.699345,0.798862,-0.800067,-0.001063,0.000949
166,1779735458.204970,-0.000879,-0.000216,-0.000554,0.014818,0.014387,0.014655,-0.500991,-0.699351,0.798861,-0.800075,0.000851,0.000283
167,1779735458.220782,-0.000938,-0.000107,-0.000581,0.014177,0.013785,0.014012,-0.500989,-0.699351,0.798862,-0.800077,0.000517,0.000305
168,1779735458.270486,-0.002037,-0.000966,0.000377,0.020351,0.018272,0.018019,-0.500985,-0.699360,0.798854,-0.800077,0.000525,0.003483
169,1779735458.287203,-0.001396,-0.001362,0.000985,0.017113,0.016733,0.015592,-0.500983,-0.699352,0.798862,-0.800092,0.001528,-0.001164
170,1779735458.301736,-0.001425,-0.001445,0.000670,0.014819,0.014387,0.014654,-0.500986,-0.699360,0.798858,-0.800102,0.001191,0.000291
171,1779735458.316239,-0.001210,-0.001481,0.000332,0.014186,0.013784,0.014010,-0.500984,-0.699372,0.798861,-0.800107,0.001183,-0.001160
172,1779735458.406563,-0.000789,-0.000720,0.000594,0.020358,0.018273,0.018015,-0.500991,-0.699378,0.798867,-0.800104,0.001204,-0.001306
173,1779735458.420984,-0.000818,-0.000981,0.000646,0.017131,0.016735,0.015592,-0.500999,-0.699376,0.798880,-0.800107,0.000748,0.000488
174,1779735458.440009,-0.001099,-0.000869,0.000155,0.014823,0.014386,0.014655,-0.501002,-0.699386,0.798876,-0.800126,0.001640,0.001232
175,1779735458.460346,-0.001050,-0.000839,0.000032,0.014182,0.013784,0.014011,-0.501000,-0.699390,0.798878,-0.800129,0.000587,-0.000268
176,1779735458.606490,-0.000572,-0.000153,0.000070,0.020354,0.018272,0.018016,-0.501006,-0.699393,0.798883,-0.800126,0.000786,-0.001495
177,1779735458.620977,-0.000664,-0.000359,0.000057,0.017130,0.016734,0.015590,-0.501013,-0.699392,0.798894,-0.800127,0.000550,0.000579
